suicideboys,https://open.spotify.com/playlist/7m2anyDYjemtnmOK1sblce?si=0ccfbb7992df4449
21 savage,https://open.spotify.com/playlist/6fBtfg58q6t2e6UKpkK35F?si=391e8751eabc4801
asap mob,https://open.spotify.com/playlist/27bDl4cqsCBnBhZnD205ro?si=f27fd4f8a9df4606
aaron may,https://open.spotify.com/playlist/6KF9valIwuxpivBifVDxTj?si=b25bfd66b81a44c3
brockhampton,https://open.spotify.com/playlist/3ru39qbKGxmgqUcAC9KqRO?si=f8cffe1feecb4ed0
carti nudy pierre,https://open.spotify.com/playlist/2BbzhphHN96NCYUwB4X2be?si=304c3a9e341f44eb
daft punk,https://open.spotify.com/playlist/0rBOXOo0z4mjRkNkZzz8qF?si=e2c7dc242c544a04
drake,https://open.spotify.com/playlist/0WwpCXUuTERTaNnG68eu5A?si=f6a8354c2145450e
freddie gibbs,https://open.spotify.com/playlist/0BQBvjwNK27ymI49EuOLKi?si=b2310edb148141dc
frank ocean,https://open.spotify.com/playlist/0EbFCimUCtvqY0UKQNMSBf?si=e971d92bb7ea4f10
future,https://open.spotify.com/playlist/1ocQYqrRXYYZ11UqONPgGK?si=00021f7269b94fa1
griselda,https://open.spotify.com/playlist/13bHd4MWHciXOUybqpVZSO?si=9f7ceb1181644766
gunna,https://open.spotify.com/playlist/4DvQwQIvL2ojAOViORCPik?si=12f85784b212416b
jack harlow,https://open.spotify.com/playlist/71ksmV0KwfSyQokowViEdf?si=77a50145eab14d88
j cole,https://open.spotify.com/playlist/1lS5ZH8lHVBWkgJqg2npWO?si=be7a87c2624e4a0c
kendrick,https://open.spotify.com/playlist/3FQo4JcLOj7snI60zNWF7u?si=5fb43e99e21d49a7
kid cudi,https://open.spotify.com/playlist/0bOhgbKQ81V7L9nAQOOIGQ?si=d632082cf3444c4b
kota the friend,https://open.spotify.com/playlist/0oU9ciIZCVFAfiSE9qchZl?si=acdd028d9ae546c0
lil baby,https://open.spotify.com/playlist/19iDp2RapVf6pqm1lUTF8A?si=ae5c457b443848e5
mac miller,https://open.spotify.com/playlist/099UX3p9su7lLgP56MJr0t?si=b68bda3efc234d31
michigan boys,https://open.spotify.com/playlist/52W2ed7EtN4aGx4CCsonFZ?si=e92d69363e4b4c8a
maxo kream,https://open.spotify.com/playlist/4EohmqYcfFFavDm2mvvV3e?si=59bd170747834d92
nav ,https://open.spotify.com/playlist/0gAqrHGIiRddH7VsOkfXxN?si=07c6290060d74c00
travis scott,https://open.spotify.com/playlist/42GVM4IjlXL03XQRuhkQF7?si=2b9e68ba5fc54cd8
uzi,https://open.spotify.com/playlist/2tQx1wyURoL9MKkQj6AApj?si=cc6abe757c3c4d66
wiz and currency,https://open.spotify.com/playlist/3GNHTbFSqFCnmXbfpnlKWT?si=801f2e4e1a5e4a27
kanye,https://open.spotify.com/playlist/6QsDnmrZ0l8rAS6Ogp5FTN?si=a52e8d80c2bc414e