suicideboys,https://open.spotify.com/playlist/37i9dQZF1DZ06evO15CHq8?si=b024d4a3f605448b
21 savage,https://open.spotify.com/playlist/37i9dQZF1DWYojpWKpDMGi?si=e7d782e78e1343fe
asap mob,https://open.spotify.com/playlist/37i9dQZF1DWXmxXDRgAKVq?si=f2a6077231344924
aaron may,https://open.spotify.com/playlist/37i9dQZF1DZ06evO1oHoLT?si=beddeaa78e064edb
brockhampton,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0Tiwvu?si=0352f91e6e414aaa
carti nudy pierre,https://open.spotify.com/playlist/37i9dQZF1DZ06evO3CRVnO?si=07d5f424b37f4919
daft punk,https://open.spotify.com/playlist/37i9dQZF1DWZAkrucRF6Gq?si=a743c60c312f4e4e
drake,https://open.spotify.com/playlist/37i9dQZF1DX7QOv5kjbU68?si=c362df1e50094d5e
freddie gibbs,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0vFpVC?si=9c680a6e76494a86
frank ocean,https://open.spotify.com/playlist/37i9dQZF1DXdyjMX5o2vCq?si=e28b378ab890420d
future,https://open.spotify.com/playlist/37i9dQZF1DWVstK6FYh8Nw?si=a4cdab2e4c2c46db
griselda,https://open.spotify.com/playlist/61zzitaZHZegpeopBwXaw1?si=e279e2d900134b61
gunna,https://open.spotify.com/playlist/37i9dQZF1DWXastfX6gcoY?si=eaf9c1ce5f804e85
jack harlow,https://open.spotify.com/playlist/37i9dQZF1DX8ucPPHyzDUE?si=47dc4029ca734332
j cole,https://open.spotify.com/playlist/37i9dQZF1DXcGnc6d1f20P?si=ba21a2ba9f0a4455
kendrick,https://open.spotify.com/playlist/37i9dQZF1DX5EkyRFIV92g?si=fc30f4b1ea7e4f03
kid cudi,https://open.spotify.com/playlist/37i9dQZF1DZ06evO04TCIU?si=4a5bbcb9b39f4e14
kota the friend,https://open.spotify.com/playlist/37i9dQZF1DZ06evO1tXda8?si=8ec8f24cae52445f
lil baby,https://open.spotify.com/playlist/75jC7oKCSh7SeOngwcQX96?si=bd6757a632f240f3
mac miller,https://open.spotify.com/playlist/37i9dQZF1DZ06evO2NufN6?si=50ca360c03aa40ed
michigan boys,https://open.spotify.com/playlist/37i9dQZF1DZ06evO41sqwE?si=66b71f9addf344ed
maxo kream,https://open.spotify.com/playlist/37i9dQZF1DZ06evO3RJWx7?si=6bcdb3cbc4fd4acc
nav ,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4p7boI?si=17bd9cf2d3774baa
travis scott,https://open.spotify.com/playlist/37i9dQZF1DWUgX5cUT0GbU?si=74dbbafe3be04f10
uzi,https://open.spotify.com/playlist/37i9dQZF1DX4sqNyKH13qY?si=54918e9956da44c4
wiz and currency,https://open.spotify.com/playlist/37i9dQZF1DWXwWInfdJ5vk?si=87d3a74e322b41fb
kanye,https://open.spotify.com/playlist/37i9dQZF1DZ06evO3nMr04?si=c6a4a778c16f4626